kjv|Jude 1:1-25|64|1|1770816767
kjv|Genesis 1|0|1|1770816765
kjv|2 Kings 1|11|1|1770816763
web|2 Kings 1|11|1|1770816762
web|1 Samuel 1|8|1|1770816756
web|Numbers 1|3|1|1770816754
web|Leviticus 1|2|1|1770816749
web|Exodus 1|1|1|1770816748
web|Genesis 1|0|1|1770816747
web|Leviticus 27|2|27|1770774947
web|2 John 1:1-13|62|1|1770774909
kjv|Jonah 1|31|1|1770774869
bbe|Revelation 1|65|1|1770774840
bbe|Genesis 1|0|1|1770774775
bbe|Exodus 1|1|1|1770774772
bbe|Jude 1:1-25|64|1|1770774766
bbe|Jude 1:1|64|1|1770774428
bbe|2 Kings 1|11|1|1770774425
bbe|Judges 1|6|1|1770774421
bbe|Joshua 1|5|1|1770774050
